outbreak_id,sub_oid,disease,location,event,start_date,end_date,duration,total,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,entropy
0,0,RSV,ND,HOSPITALIZATIONS,2024-06-22 00:00:00,2025-05-31 00:00:00,41,459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,2.0,13.0,8.0,8.0,10.0,29.0,28.0,27.0,46.0,52.0,43.0,43.0,39.0,27.0,27.0,23.0,17.0,4.0,7.0,,,,,,,,,,,,,,,3.9960873365658798
1,0,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2010-10-16 00:00:00,2011-08-06 00:00:00,34,90.2390218,2.73532,3.31103,2.05761,0.376712,2.96108,2.42303,0.614754,2.8157,2.46212,3.2371,2.22063,3.82883,3.00619,2.95939,3.12049,4.47843,6.28019,3.68098,4.43182,8.24176,6.80219,5.88957,2.89517,1.56352,1.16105,0.894234,1.43939,1.05422,0.513834,0.421546,0.283286,0.395062,0.185071,0.183374,0.330251,0.0875657,0.168067,0.0656599,0.123609,0.0517063,0.148478,0.264375,0.0746269,,,,,,,,,,,,,,,,,,4.7465338847562855
2,1,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2012-06-16 00:00:00,2012-12-08 00:00:00,17,54.807999,0.435098,0.235294,0.224972,0.974513,0.293255,0.359454,0.549073,1.03022,0.530786,0.540054,2.25485,3.18318,3.65591,4.41065,4.86275,4.35403,2.80287,2.66876,2.52572,3.18166,3.04601,1.92698,3.09826,2.12982,3.26223,2.2716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.324231472991187
3,2,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2012-10-13 00:00:00,2013-08-03 00:00:00,34,153.295142,2.66876,2.52572,3.18166,3.04601,1.92698,3.09826,2.12982,3.26223,2.2716,2.82964,6.81524,10.1455,8.65229,10.1024,9.41499,9.67664,8.77193,6.27462,5.84396,5.60621,4.66401,3.06711,3.87945,3.07491,3.34101,2.66117,2.08668,2.99728,2.43995,2.36794,2.20905,2.32681,2.48705,2.81955,0.358423,0.312175,0.855615,0.439078,0.336134,0.37831,0.490196,0.900901,0.55788,,,,,,,,,,,,,,,,,,4.996653084264613
4,3,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2013-06-08 00:00:00,2013-12-21 00:00:00,20,42.58717600000001,0.358423,0.312175,0.855615,0.439078,0.336134,0.37831,0.490196,0.900901,0.55788,4.83736,2.94302,2.9601,0.763359,3.4678,4.96134,3.85941,4.7043,0.469484,0.76,0.79698,0.947672,0.472306,0.690407,0.953107,0.679456,0.900424,0.712946,0.899743,1.17925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.264463875136378
5,4,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2013-10-26 00:00:00,2014-05-31 00:00:00,23,31.821822,0.947672,0.472306,0.690407,0.953107,0.679456,0.900424,0.712946,0.899743,1.17925,1.56863,1.87768,1.77795,1.97794,2.49233,2.04842,1.99442,1.21046,0.808081,0.574713,0.97269,1.09393,0.747664,0.44428,0.652842,0.678989,0.510204,0.405515,0.235849,0.647059,0.436137,0.666667,0.564061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.784147515208709
6,5,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2014-04-05 00:00:00,2014-11-29 00:00:00,26,26.885318000000005,0.652842,0.678989,0.510204,0.405515,0.235849,0.647059,0.436137,0.666667,0.564061,1.35135,0.244898,0.776531,0.738916,1.18519,0.40201,0.740741,0.786517,0.753498,0.925926,0.686695,1.21382,1.0979,1.07914,1.89019,1.44788,1.06075,0.630564,0.741565,0.855545,0.530906,0.420008,0.293871,0.684671,0.676397,0.872516,,,,,,,,,,,,,,,,,,,,,,,,,,4.986569959551204
7,6,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2014-10-04 00:00:00,2015-07-25 00:00:00,34,64.456523,0.630564,0.741565,0.855545,0.530906,0.420008,0.293871,0.684671,0.676397,0.872516,1.12994,1.3936,2.57791,4.92802,3.54312,2.82328,2.54025,5.80942,4.06442,2.80483,1.70599,1.54268,1.48305,1.75055,2.20345,2.3017,2.39542,2.08991,1.28593,0.962567,0.796312,0.679348,0.932744,0.90854,0.614628,0.630517,0.68408,0.667111,0.480513,0.561224,0.373134,0.366838,0.933908,0.785546,,,,,,,,,,,,,,,,,,5.01447349729744
8,7,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2015-05-30 00:00:00,2015-12-05 00:00:00,19,17.725243999999996,0.630517,0.68408,0.667111,0.480513,0.561224,0.373134,0.366838,0.933908,0.785546,0.832702,1.01664,0.44843,0.783699,0.609756,0.507614,0.820896,0.572519,0.720839,1.19403,0.428878,0.451722,0.498287,0.331583,0.489663,0.565771,0.921788,0.697293,0.350263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.727635587714539
9,8,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2015-10-10 00:00:00,2016-02-13 00:00:00,10,9.928703,0.428878,0.451722,0.498287,0.331583,0.489663,0.565771,0.921788,0.697293,0.350263,0.833066,0.545455,0.459982,0.421151,0.529412,0.527395,0.328554,0.406858,0.437158,0.704424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.186260814463824
