unique_id,disease,location,event,start_date,end_date,duration,total,mean,median,variance,skewness,excess_kurtosis
1,RSV,ND,HOSPITALIZATIONS,2024-06-22 00:00:00,2025-05-31 00:00:00,41,459.0,36.433551198257085,37.0,16.568024643892898,-0.34300791672571945,0.031472573999592246
2,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2010-10-16 00:00:00,2011-08-06 00:00:00,34,90.2390218,14.828659260798858,16.0,59.23141472905477,0.0394306195525812,0.14838754024038714
3,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2012-06-16 00:00:00,2012-12-08 00:00:00,17,54.807999,15.838944220532484,15.0,30.761023555732304,-0.34999694934179737,-0.15467906012204535
4,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2012-10-13 00:00:00,2013-08-03 00:00:00,34,153.295142,16.25896178758228,15.0,75.67752913321063,0.5174470077091391,0.07738636842705704
5,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2013-06-08 00:00:00,2013-12-21 00:00:00,20,42.58717600000001,14.091742922799106,14.0,36.640429874832115,0.38147815121641876,0.11746424391578492
6,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2013-10-26 00:00:00,2014-05-31 00:00:00,23,31.821822,13.752743573262402,13.0,57.7763735635868,0.3815494693452045,-0.35451098899838707
7,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2014-04-05 00:00:00,2014-11-29 00:00:00,26,26.885318000000005,18.0528027230327,20.0,84.6391480399798,-0.21107873315930298,-0.8697190627559519
8,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2014-10-04 00:00:00,2015-07-25 00:00:00,34,64.456523,18.87060550877062,17.0,82.92401632750659,0.5173769423651078,0.0287731747805422
9,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2015-05-30 00:00:00,2015-12-05 00:00:00,19,17.725243999999996,13.272545810934957,13.0,61.01192459001276,0.04256697011284099,-1.0827829733473882
10,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2015-10-10 00:00:00,2016-02-13 00:00:00,10,9.928703,8.996687180591463,9.0,27.935507491234656,0.10322629544222965,-1.044542674119734
11,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2015-12-19 00:00:00,2016-07-02 00:00:00,20,18.015999999999995,13.32839276198934,12.0,53.77603219476111,0.24017066449169436,-0.5757851061563652
12,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2016-05-07 00:00:00,2016-09-10 00:00:00,10,7.0255540000000005,8.781802687731103,8.0,29.070571787331822,0.13647888203975456,-1.127223438914483
13,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2016-07-16 00:00:00,2016-11-05 00:00:00,8,5.358497,8.017875348255304,8.0,22.042500501496477,0.03452953044179123,-1.0023313971339898
14,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2016-09-10 00:00:00,2017-07-15 00:00:00,36,40.45824749999999,21.481476959673056,22.0,68.3737494197686,-0.04313042823538928,0.7866000788425898
15,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2019-06-22 00:00:00,2020-07-25 00:00:00,49,155.110029,28.85583663323279,29.0,120.36766364365555,-0.24781936287751952,0.30122588633562186
16,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2020-05-30 00:00:00,2021-03-27 00:00:00,35,39.562043,21.8417762955265,22.0,131.6515489231338,-0.011255661927268852,-0.9090475259805069
17,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2021-01-30 00:00:00,2021-11-13 00:00:00,33,66.81981,24.981146354651408,27.0,118.15572275997418,-0.48935184245483987,-0.7099284053538879
18,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2021-09-18 00:00:00,2022-04-02 00:00:00,20,77.29504,14.467062569603431,15.0,61.877549770282194,-0.05069230026411589,-0.9531769655950297
19,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2022-02-05 00:00:00,2022-08-06 00:00:00,18,54.805240000000005,11.632440803105688,11.0,55.60862784384665,0.30975525379009633,-0.971561611622882
20,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2023-06-24 00:00:00,2024-08-10 00:00:00,51,168.12164400000003,31.32430566167911,33.0,159.44856684809184,-0.28189324471212773,-0.15385381055997005
21,ILI,NEBRASKA,PERCENT_UNWEIGHTED,2024-06-15 00:00:00,2025-05-31 00:00:00,42,150.21113,27.94662466755959,30.0,107.46359166986667,-0.8336680913209609,0.09112771173871081
22,COVID-19,NM,HOSPITALIZATIONS,2021-03-20 00:00:00,2021-07-24 00:00:00,10,2323.0,8.470942746448559,8.0,27.049844440544675,0.20912338452622284,-0.9175792302257464
